# AlphaBot EC2 Container Log — 2026-04-29
# Container rebuilt at 09:16 UTC (per-strategy cooldown + tight-stop fix deployed)
# Logs before 09:16 UTC are not available in Docker log buffer (prior container run)
# Historical trades from all prior sessions are in the SQLite DB

2026-04-29T12:15:27.730091601Z 2026-04-29 12:15:27.730 | INFO     | alphabot.regime.detector:detect:74 | Regime change: ETHUSDT MarketRegime.TRENDING_UP → MarketRegime.TRENDING_DOWN
2026-04-29T12:15:28.201319252Z 2026-04-29 12:15:28.201 | INFO     | alphabot.regime.detector:detect:74 | Regime change: SOLUSDT MarketRegime.TRENDING_UP → MarketRegime.TRENDING_DOWN
2026-04-29T12:15:28.252575788Z 2026-04-29 12:15:28.252 | WARNING  | alphabot.risk.risk_manager:_log_rejection:324 | [Risk] REJECTED: SOLUSDT SHORT — SYMBOL BLOCK — opposite position already open on SOLUSDT
2026-04-29T12:17:02.229532064Z 2026-04-29 12:17:02.229 | ERROR    | alphabot.execution.order_executor:place_market_order:65 | [Executor] Market order failed: SOLUSDT SELL 3.9626 — binance {"code":-2022,"msg":"ReduceOnly Order is rejected."}
2026-04-29T12:17:03.570392567Z 2026-04-29 12:17:03.570 | WARNING  | alphabot.utils.retry:wrapper:44 | [RETRY] place_market_order attempt 2/3 failed: binance {"code":-2022,"msg":"ReduceOnly Order is rejected."}. Retrying in 2.0s...
2026-04-29T12:17:05.911727193Z 2026-04-29 12:17:05.911 | ERROR    | alphabot.utils.retry:wrapper:39 | [RETRY] place_market_order failed after 3 attempts: binance {"code":-2022,"msg":"ReduceOnly Order is rejected."}
2026-04-29T12:17:05.930540463Z 2026-04-29 12:17:05.930 | WARNING  | alphabot.positions.pnl_tracker:record_trade:163 | [PnL] Trade not inserted (duplicate/unknown) trade_id=3890c265-ac6d-46e6-9cfc-d31a68473c25 (SOLUSDT LONG reason=SL_HIT)
2026-04-29T12:17:05.937988932Z 2026-04-29 12:17:05.937 | INFO     | alphabot.positions.position_manager:close_position:367 | [PosManager] Position closed: 3890c265-ac6d-46e6-9cfc-d31a68473c25 SOLUSDT reason=SL_HIT PnL=-1.97
2026-04-29T12:17:06.307602978Z 2026-04-29 12:17:06.307 | INFO     | alphabot.risk.risk_manager:initialize:88 | [Risk] Initialized: balance=3366.35105761 peak=3381.64281732
2026-04-29T12:17:06.307859661Z 2026-04-29 12:17:06.307 | INFO     | __main__:refresh_balance:139 | Balance refreshed: $3,366.35
2026-04-29T12:45:08.775691050Z 2026-04-29 12:45:08.775 | INFO     | alphabot.regime.detector:detect:74 | Regime change: BTCUSDT MarketRegime.TRENDING_UP → MarketRegime.TRENDING_DOWN
2026-04-29T13:00:15.191179240Z 2026-04-29 13:00:15.190 | WARNING  | alphabot.data.websocket_client:_run_rest_fallback:187 | [MarketData] REST fallback synced closed candle: BTCUSDT 15m close=77110.00
2026-04-29T13:15:21.451609591Z 2026-04-29 13:15:21.451 | WARNING  | alphabot.data.websocket_client:_run_rest_fallback:187 | [MarketData] REST fallback synced closed candle: BTCUSDT 15m close=77146.10
2026-04-29T13:30:28.219226307Z 2026-04-29 13:30:28.218 | WARNING  | alphabot.data.websocket_client:_run_rest_fallback:187 | [MarketData] REST fallback synced closed candle: BTCUSDT 15m close=76897.70
2026-04-29T13:45:03.184612874Z 2026-04-29 13:45:03.183 | WARNING  | alphabot.data.websocket_client:_run_rest_fallback:187 | [MarketData] REST fallback synced closed candle: BTCUSDT 15m close=76529.90
2026-04-29T13:45:04.144163978Z 2026-04-29 13:45:04.143 | WARNING  | alphabot.data.websocket_client:_run_rest_fallback:187 | [MarketData] REST fallback synced closed candle: SOLUSDT 15m close=83.7700
2026-04-29T13:45:04.475347860Z 2026-04-29 13:45:04.475 | WARNING  | alphabot.data.websocket_client:_run_rest_fallback:195 | [MarketData] REST fallback applied 3 new candles
